"ID","問題文","選択肢1","選択肢2","選択肢3","選択肢4","正解番号","解説"
"127","クロスメディアの例として、最も連動性が高いものはどれか。","テレビでCMを流すだけ","CMの最後に続きはWebでと検索を促し、Webサイトへ誘導する","看板を立てるだけ","ラジオで同じ曲を流す","2","異なるメディア間をユーザーに移動させ、体験を深める手法です。"
"128","情報モラルが教育現場で重視される背景はどれか。","PCを壊さないようにするため","SNSによるトラブルや犯罪被害から自分と他者を守るため","プログラミング速度を上げるため","数学の点数を上げるため","2","技術の便利さの裏にあるリスクを回避する能力が、全市民に必要だからです。"
"129","不正アクセス禁止法で禁止されている識別符号の不正取得の例はどれか。","自分のパスワードを紙に書く","フィッシングサイトを作って他人のパスワードを入力させる","友人の誕生日にプレゼントを贈る","公共のWi-Fiを使う","2","騙したり盗み見たりして、他人のパスワードを手に入れる行為自体が禁止されています。"
"130","抽象化の手法を用いて作成されたピクトグラムが、駅や空港で多用される理由はどれか。","言葉が通じなくても、直感的に意味を伝えられるから","色がきれいだから","サイズが自由だから","法律で作ることが義務だから","1","抽象化の極致であるシンボルマークは、世界共通の言語になり得ます。"
"131","コミュニケーション手段電話の時間と場所の分類はどれか。","時間：共有、場所：非共有","時間：共有、場所：共有","時間：非共有、場所：非共有","時間：非共有、場所：共有","1","リアルタイムで話す（同期）が、場所は離れている状態です。"
"132","情報システムを活用する際、組織がセキュリティポリシーを定める最大の目的は何か。","職員を監視して楽しむため","情報の漏洩や改ざん、システムの停止などのリスクを最小化するため","紙の資料を増やすため","デザインの統一感を出すため","2","情報の機密性、完全性、可用性を維持するための管理策です。"
"133","Webサイトのユーザインターフェース（UI）が悪いために起こる現象はどれか。","通信速度が向上する","利用者が目的の情報にたどり着けず、離脱する","PCのスペックが上がる","SEOの順位が無条件に上がる","2","使い勝手の悪さは、どんなに良いコンテンツでも伝わらない原因になります。"
"134","ストーリーボードにおいて、ユーザーの感情や状況を記述する目的は何か。","プログラミングを楽にするため","サービス利用者の体験（UX）を具体的にイメージし、問題を改善するため","デザインをカラフルにするため","法律の条文を増やすため","2","ユーザーがどのタイミングで困るか、喜ぶかを予測して設計に活かします。"
"135","インフルエンサーに広告を依頼した際、ハッシュタグ#広告等を入れない場合に受ける評価はどれか。","非常に誠実な情報発信だという評価","ステルスマーケティング（ステマ）として非難や処罰の対象となる","最新のマーケティング手法として賞賛される","デザイン性が高いと評価される","2","隠蔽工作とみなされ、発信者も企業も信頼を失います。"
"136","情報セキュリティポリシーの対策基準において、サーバ室の入退室管理を定める理由はどれか。","物理的に情報を盗まれたり壊されたりするのを防ぐため","職員の運動不足を解消するため","電気代を節約するため","AIのカメラをテストするため","1","ネットワーク対策だけでなく、物理的な資産保護もセキュリティの重要項目です。"
"137","テキストマイニングを活用して、コールセンターの声を分析する目的はどれか。","通話時間を長くするため","顧客の不満や要望を抽出し、サービス改善に活かすため","社員の声をAIに変えるため","電話代を安くするため","2","膨大な応対記録から、人間が気づかない傾向を見つけ出します。"
"138","情報デザインの抽象化において、情報を削りすぎてしまった場合に起こる問題はどれか。","意味が全く伝わらなくなる","情報が多すぎて混乱する","通信速度が落ちる","著作権が発生しなくなる","1","省略と維持のバランスが重要です。削りすぎると元の意味をなさなくなります。"
"139","SEOにおけるalt属性にキーワードを入れる際、注意すべき点はどれか。","画像と関係のないキーワードを羅列しないこと","できるだけ長く書くこと","すべて英語で書くこと","隠し文字として配置すること","1","不適切なキーワードの詰め込みはスパムと判断され、評価を下げる可能性があります。"
"140","利用状況データの分析例として、コンビニの購入商品と年齢層のデータから分かることは何か。","店員の出勤時間","どの時間帯にどの層が何を求めているかという売れ筋傾向","店内の温度の変化","地域の天気予報","2","POSシステムから得られる利用状況データをマイニングし、仕入れの最適化に役立てます。"
"141","メディアミックスを行うことで、情報の発信側が得られるメリットはどれか。","情報を独占できる","各メディアの特性を活かし、重複して情報を届けることで印象を強められる","法律の適用を免れる","デザインのコストがゼロになる","2","複数の接点を持つことで、記憶の定着や購買意欲の向上を狙います。"
"144","情報デザインにおいて、色や形に意味を持たせる（例：警告は赤）理由として正しいものはどれか。","インク代を節約するため","直感的な理解を助け、誤操作や情報の見落としを防ぐため","法律で色が指定されているから","デザインを奇抜にするため","2","文化的な共通認識（シグニファイア）を利用して、伝達効率を高めます。"
"146","著作権法において保護されないものの例として適切なものはどれか。","自作のイラスト","単なる事実のデータや、アイデアそのもの","プログラムのソースコード","自分で作曲したメロディ","2","思想や感情を創作的に表現したものが著作物であり、事実やアイデアは保護対象外です。"
"147","不正アクセス禁止法における識別符号の不正取得の罰則として正しい認識はどれか。","罰則は存在しない","懲役や罰金などの刑罰が科せられる可能性がある","学校を退学になるだけである","自分のPCが没収されるだけである","2","他人の権限を盗む行為は、犯罪として厳格に処罰されます。"
"148","個人情報保護法が個人の権利だけでなく情報の有用性も考慮している理由はどれか。","情報をすべて隠すと、便利なサービスの提供や社会の発展が妨げられるから","企業の利益だけを優先するため","法律を複雑にするため","個人情報を売買するため","1","適切なルールの下で情報を活用することも、社会の利益に繋がるからです。"
"149","人工知能（AI）が得意な作業と、人間が得意な作業の組み合わせとして適切なものはどれか。","AI：単純作業やパターン認識、人間：感情理解やクリエイティブな問いの設定","AI：新しい物語の完全な創作、人間：大量データの高速計算","AI：体力的な重労働、人間：データの単純入力","AI：すべての知的作業、人間：AIの監視のみ","1","それぞれの強みを活かした協働が、これからの情報社会で求められます。"
"150","情報の高速化によって、私たちの情報収集にどのような変化が起きたか。","情報が届くまでに数日待つようになった","リアルタイムで世界中のニュースにアクセスできるようになった","新聞の発行部数が劇的に増えた","デザインがすべてモノクロになった","2","情報の即時性が高まり、意思決定のスピードも加速しています。"
"152","情報デザインにおけるアクセシビリティの重要性が高まっている社会的背景はどれか。","AIがデザインを始めたから","高齢化社会の進行や、情報のデジタル化に伴う情報格差の解消が必要だから","通信速度が限界に達したから","スマホの価格が上がったから","2","誰もが情報社会の恩恵を受けられるようにする情報バリアフリーの考え方が不可欠です。"
"154","情報セキュリティポリシーの基本方針を一般に公開する主な理由は何か。","ライバル企業に手の内を見せるため","組織のセキュリティに対する高い意識を社会に示し、信頼を得るため","法律で100%全公開が義務だから","デザインの見本にするため","2","しっかりとした指針を持つ組織であることを示す、信頼の証となります。"
